bncana,bencana
allahjangan,allah jangan
tdak,tidak
selam,salama
mn,mana
swtgempa,swt gempa
bangsarakyat,bangsa rakyat
nda,tidak
gedunggedung,gedung gedung
kawatir,khawatir
aminaamiin,amin
ajasemua,aja semua
ajasaya,aja saya
tibatiba,tiba tiba
gempatsunami,gempa tsunami
kenceng,kencang
cpt,cepat
mcm,macam
busemoga,semoga
dmn,dimana
surgakebahagiaan,surga kebahagiaan
benarbenar,benar benar
sajaya,saja
ayatayatnya,ayat ayatnya
napa,kenapa
penghisabanpergantian,penghisaban pergantian
ind,indonesia
tggu,tunggu
kit,kita
tmbh,tambah
ohhh,oh
terjadibiar,terjadi biar
kmn,kemana
mlah,malah
sprt,seperti
gajih,gaji
waktusemoga,waktu semoga
lukaluka,luka luka
subhana,subhanallah
ente,kamu
yutub,youtube
tkt,takut
sajah,saja
ksih,kasih
mbangun,membangun
kagak,tidak
urusane,urusannya
sajapasrah,saja pasrah
ikndi,ikn di
dl,dulu
trjd,terjadi
mmpu,mampu
hrsny,harusnya
gncngny,guncangannya
stlh,setelah
aesemoga,semoga
kluargaku,keluarga saya
medeni,takutin
swtjangan,swt jangan
hujanterima,hujan terima
bencanabmkg,bencana bmkg
samasama,sama sama
gempahanya,gempanya
nggu,tunggu
sajabmkg,saja bmkg
selmat,selamat
ininamanya,ini namanya
sbgai,sebagai
ajaini,aja ini
indonesiaaamiin,indonesia amin
masarkat,masyarakat
gatau,tidak tau
aallaah,allah
megatrustitu,megathrust
dpat,dapat
skli,sekali
prilaku,perilaku
smkin,semakin
bhwa,bahwa
kbenaran,kebenaran
kpada,kepada
tentram,tentram
allh,allah
indonesiagua,indonesia 
jawadan,jawa dan
allahhanya,allah hanya
iknayo,ikn ayo
mngatur,mengatur
inijangan,ini jangan
you,kamu
sblum,sebelum
kna,kena
bsk,besok
thusami,tsunami
mgkin,mungkin
bmkgsaya,bmkg saya
tenggelamsemoga,tenggelam semoga
masyarakan,masyarakat
seorg,seorang
koq,kok
mdhan,mudahan
slama,selama
gempapemerintah,gempa pemerintah
rakyatyg,rakyat yang
aamiinsemoga,amin semoga
taubatan,taubatan
slm,selama
masyrakat,masyarakat
itusemua,itu semua
iknyg,ikn yang
adl,adalah
rkyat,rakyat
ramlan,ramalan
bahayasemoga,bahaya semoga
masy,masyarakat
thun,tahun
tuhanyang,tuhan yang
kerana,karena
tsunamisemua,tsunami semua
trimakasih,terima kasih
swtbukan,swt bukan
kmungkinan,kemungkinan
percoyo,percaya
mmbuat,membuat
khndak,kehendak
allahjgn,allah jangan
aamiingempa,amin gempa
waktugempa,waktu gempa
mudeng,paham
